"","Fecha","1","3","6","12"
"V748",2005-12-22,,,,
"V749",2005-12-23,,,,
"V750",2005-12-26,,,,
"V751",2005-12-27,,,,
"V752",2005-12-28,,,,
"V753",2005-12-29,,,,
"V754",2005-12-30,,,,
"V755",2006-01-02,,,,
"V756",2006-01-03,,,,
"V757",2006-01-04,,,,
"V758",2006-01-05,,,,
"V759",2006-01-06,,,,
"V760",2006-01-09,,,,
"V761",2006-01-10,,,,
"V762",2006-01-11,,,,
"V763",2006-01-12,,,,
"V764",2006-01-13,,,,
"V765",2006-01-16,,,,
"V766",2006-01-17,,,,
"V767",2006-01-18,,,,
"V768",2006-01-19,,,,
"V769",2006-01-20,,,,
"V770",2006-01-23,,,,
"V771",2006-01-24,,,,
"V772",2006-01-25,,,,
"V773",2006-01-26,,,,
"V774",2006-01-27,,,,
"V775",2006-01-30,,,,
"V776",2006-01-31,,,,
"V777",2006-02-01,,,,
"V778",2006-02-02,,,,
"V779",2006-02-03,,,,
"V780",2006-02-06,,,,
"V781",2006-02-07,,,,
"V782",2006-02-08,,,,
"V783",2006-02-09,,,,
"V784",2006-02-10,,,,
"V785",2006-02-13,,,,
"V786",2006-02-14,,,,
"V787",2006-02-15,,,,
"V788",2006-02-16,,,,
"V789",2006-02-17,,,,
"V790",2006-02-20,,,,
"V791",2006-02-21,,,,
"V792",2006-02-22,,,,
"V793",2006-02-23,,,,
"V794",2006-02-24,,,,
"V795",2006-02-27,,,,
"V796",2006-02-28,,,,
"V797",2006-03-01,,,,
"V798",2006-03-02,,,,
"V799",2006-03-03,,,,
"V800",2006-03-06,,,,
"V801",2006-03-07,,,,
"V802",2006-03-08,,,,
"V803",2006-03-09,,,,
"V804",2006-03-10,,,,
"V805",2006-03-13,,,,
"V806",2006-03-14,,,,
"V807",2006-03-15,,,,
"V808",2006-03-16,,,,
"V809",2006-03-17,,,,
"V810",2006-03-20,,,,
"V811",2006-03-21,,,,
"V812",2006-03-22,,,,
"V813",2006-03-23,,,,
"V814",2006-03-27,,,,
"V815",2006-03-28,,,,
"V816",2006-03-29,,,,
"V817",2006-03-30,,,,
"V818",2006-03-31,,,,
"V819",2006-04-03,,,,
"V820",2006-04-04,,,4.9479,
"V821",2006-04-05,,,,
"V822",2006-04-06,,,,
"V823",2006-04-07,,,,
"V824",2006-04-10,,,,
